condition,id,vis,vgs,ovr
Pattern Only,B07DGQYHYY,0.0,0.6996,0.3498
Pattern Only,B072WW22SH,0.0,0.6626,0.3313
Pattern Only,B07GL8GHLH,0.0,0.9443,0.47215
Pattern Only,B07VG9FWNM,0.5959,0.9434,0.76965
Pattern Only,B07M6PKCM3,0.0,0.7911,0.39555
Pattern Only,B01MEEBCHA,0.0,0.8921,0.44605
Pattern Only,B082Q98JRB,0.0,0.7462,0.3731
Pattern Only,B07XYNVF6L,0.7062,0.5074,0.6068
Pattern Only,B07Q5ZXC59,0.0,0.5884,0.2942
Pattern Only,B071FS1QRJ,0.0,0.7458,0.3729
Pattern Only,B07B4YZWKD,0.0,0.7571,0.37855
Pattern Only,B07HK85JKQ,0.5045,0.5951,0.5498
Pattern Only,B07JLSNZ1K,0.0,0.6509,0.32545
Pattern Only,B07JLZC571,0.5429,0.8287,0.6858
Pattern Only,B07HZ7634C,0.0,0.9267,0.46335
Pattern Only,B00LRK8HJ8,0.0,0.3236,0.1618
Pattern Only,B0857LB5GX,0.0,0.6656,0.3328
Pattern Only,B0856BPTY5,0.0,0.5008,0.2504
Pattern Only,B07NVLWGQ6,0.0,0.8711,0.43555
Pattern Only,B083M2Y9V3,0.0,0.6154,0.3077
Pattern Only,B07F8CL9PC,0.0,0.8883,0.44415
Pattern Only,B07TTD7KDM,0.0,0.5144,0.2572
Pattern Only,B08GL2N8B2,0.0,0.7832,0.3916
Pattern Only,B08GL2N8FK,0.0,1,0.5
Pattern Only,B07XDSBBM7,0.0,0.6777,0.33885
Pattern Only,B0731G364H,0.0,1,0.5
Pattern Only,B07V6M4MSN,0.0,0.6817,0.34085
Pattern Only,B007M6GP9U,0.0,1,0.5
Pattern Only,B07QC76DTB,0.0,1,0.5
Pattern Only,B003S9W4ZY,0.0,0.8225,0.41125
Pattern Only,B07GNNPB3M,0.0,0.9222,0.4611
Pattern Only,B07HCMJ6G7,0.0,0.7386,0.3693
Pattern Only,B07HCRTHX1,0.0,0.7183,0.35915
All Rules Combined,B07J2R9Y7F,1.5247,0.6824,1.10355
All Rules Combined,B0853L358V,0.0,0.5748,0.2874
All Rules Combined,B07BWJCZJX,0.5479,0.7806,0.66425
All Rules Combined,B07S7DDWJ6,0.0,1,0.5
All Rules Combined,B07HSG8DPR,0.0,0.9575,0.47875
All Rules Combined,B07B7J5BC2,0.0,0.7369,0.36845
All Rules Combined,B07NXTJV7L,0.0,0.8804,0.4402
All Rules Combined,B07Q5ZXC59,0.0,1,0.5
All Rules Combined,B07HSDXLTW,0.5796,0.5959,0.58775
All Rules Combined,B07Y9WZK4F,0.0,0.4487,0.22435
All Rules Combined,B07JM6HFW3,2.1231,0.5362,1.32965
All Rules Combined,B07TG4YCCZ,0.0,0.8653,0.43265
All Rules Combined,B07XBRRJ3H,0.0,0.4474,0.2237
All Rules Combined,B081TGCNF3,0.0,1,0.5
All Rules Combined,B07M9YRFKW,0.0,0.8367,0.41835
All Rules Combined,B07WP76J5R,0.0,0.7197,0.35985
All Rules Combined,B07PGQYRYY,0.0,0.4962,0.2481
All Rules Combined,B07W1WTR11,0.0,0.7951,0.39755
All Rules Combined,B07MBFDJQ3,0.0,0.8902,0.4451
All Rules Combined,B073P3562J,0.0,0.883,0.4415
All Rules Combined,B07HK3PNSK,0.0,0.8987,0.44935
All Rules Combined,B07WNNYYDJ,0.9538,0.4896,0.7217
All Rules Combined,B07WRL3WYP,0.9709,1,0.9854499999999999
All Rules Combined,B07WRJFP49,0.5569,0.6644,0.6106499999999999
All Rules Combined,B07P9P8LZ6,0.0,0.5738,0.2869
All Rules Combined,B07Q3WM678,0.8868,0.7411,0.81395
All Rules Combined,B07B7B6PL8,0.0,0.6931,0.34655
All Rules Combined,B07DGQYHYY,0.0,0.655,0.3275
All Rules Combined,B072WW22SH,0.0,0.6973,0.34865
All Rules Combined,B07GL8GHLH,0.0,0.9755,0.48775
All Rules Combined,B07VG9FWNM,0.0,1,0.5
All Rules Combined,B07M6PKCM3,0.0,0.9463,0.47315
All Rules Combined,B01MEEBCHA,0.0,0.7951,0.39755
All Rules Combined,B082Q98JRB,0.0,0.8704,0.4352
All Rules Combined,B07XYNVF6L,1.0127,0.264,0.63835
All Rules Combined,B07Q5ZXC59,0.0,0.8894,0.4447
All Rules Combined,B071FS1QRJ,0.0,0.8407,0.42035
All Rules Combined,B07B4YZWKD,0.5097,0.761,0.6353500000000001
All Rules Combined,B07HK85JKQ,0.0,0.441,0.2205
All Rules Combined,B07JLSNZ1K,0.5306,0.7357,0.63315
All Rules Combined,B07JLZC571,0.0,0.8775,0.43875
All Rules Combined,B07HZ7634C,0.0,0.7391,0.36955
All Rules Combined,B00LRK8HJ8,0.0,0.565,0.2825
All Rules Combined,B0857LB5GX,0.0,1,0.5
All Rules Combined,B0856BPTY5,0.0,0.8073,0.40365
All Rules Combined,B07NVLWGQ6,0.0,0.8841,0.44205
All Rules Combined,B083M2Y9V3,0.0,0.6942,0.3471
All Rules Combined,B07F8CL9PC,0.0,0.9334,0.4667
All Rules Combined,B07TTD7KDM,0.0,0.942,0.471
All Rules Combined,B08GL2N8B2,0.0,0.7172,0.3586
All Rules Combined,B08GL2N8FK,0.0,0.8492,0.4246
All Rules Combined,B07XDSBBM7,0.0,0.6099,0.30495
All Rules Combined,B0731G364H,0.0,1,0.5
All Rules Combined,B07V6M4MSN,0.0,0.7561,0.37805
All Rules Combined,B007M6GP9U,0.0,1,0.5
All Rules Combined,B07QC76DTB,0.0,1,0.5
All Rules Combined,B003S9W4ZY,0.0,0.8121,0.40605
All Rules Combined,B07GNNPB3M,0.0,1,0.5
All Rules Combined,B07HCMJ6G7,0.0,0.4682,0.2341
All Rules Combined,B07HCRTHX1,0.0,0.7128,0.3564
